"","INSTNM","LATITUDE","LONGITUDE","ADM_RATE","AANAPII","HSI","WOMENONLY","RELAFFIL"
"432","Mount St Mary's College",34.0821,-118.4805,0.7409,FALSE,TRUE,TRUE,30
"435","Musicians Institute",34.1015,-118.3377,0.9888,FALSE,FALSE,FALSE,0
"447","Newschool of Architecture and Design",32.7133,-117.1533,0.7949,FALSE,FALSE,FALSE,0
"450","North-West College-Pomona",34.0621,-117.751,1,FALSE,FALSE,FALSE,0
"451","North-West College-West Covina",34.0721,-117.9496,1,FALSE,FALSE,FALSE,0
"452","North-West College-Pasadena",34.1469,-118.1393,1,FALSE,FALSE,FALSE,0
"453","Notre Dame de Namur University",37.5175,-122.2846,0.872,FALSE,TRUE,FALSE,30
"454","Occidental College",34.1262,-118.2108,0.4239,FALSE,FALSE,FALSE,0
"458","Otis College of Art and Design",33.9566,-118.4166,0.4628,FALSE,FALSE,FALSE,0
"460","Hope International University",33.8762,-117.8857,0.4681,FALSE,FALSE,FALSE,48
"461","Concorde Career College-San Diego",32.7041,-117.1019,1,FALSE,FALSE,FALSE,0
"467","Pacific Union College",38.5741,-122.4496,0.5055,FALSE,FALSE,FALSE,95
"468","University of the Pacific",37.9806,-121.3073,0.7265,FALSE,FALSE,FALSE,0
"473","Pepperdine University",34.0419,-118.7077,0.3734,FALSE,FALSE,FALSE,74
"474","Pitzer College",34.1034,-117.7059,0.1451,FALSE,FALSE,FALSE,0
"476","Point Loma Nazarene University",32.7133,-117.2512,0.6654,FALSE,FALSE,FALSE,59
"477","Pomona College",34.0983,-117.7119,0.1392,FALSE,FALSE,FALSE,0
"484","University of Redlands",34.0636,-117.1638,0.672,FALSE,FALSE,FALSE,0
"500","San Diego State University",32.7753,-117.0712,0.3121,FALSE,FALSE,FALSE,0
"501","University of San Diego",32.7714,-117.1887,0.4885,FALSE,FALSE,FALSE,30
"502","San Francisco Art Institute",37.8036,-122.417,0.8269,FALSE,FALSE,FALSE,0
"503","San Francisco Conservatory of Music",37.7753,-122.4201,0.3986,FALSE,FALSE,FALSE,0
"504","San Francisco State University",37.7213,-122.4779,0.6379,FALSE,FALSE,FALSE,0
"506","University of San Francisco",37.7756,-122.451,0.6129,FALSE,FALSE,FALSE,30
"511","William Jessup University",38.8197,-121.2923,0.6929,FALSE,FALSE,FALSE,79
"513","San Jose State University",37.3352,-121.8812,0.6347,TRUE,FALSE,FALSE,0
"519","Santa Clara University",37.3527,-121.9382,0.5122,FALSE,FALSE,FALSE,30
"523","Scripps College",34.1037,-117.7113,0.357,FALSE,FALSE,TRUE,0
"526","Shasta Bible College and Graduate School",40.5642,-122.3157,1,FALSE,FALSE,FALSE,54
"532","Simpson University",40.6133,-122.333,0.555,FALSE,FALSE,FALSE,34
"537","Saint Mary's College of California",37.84,-122.1068,0.6947,FALSE,FALSE,FALSE,30
"539","Sonoma State University",38.341,-122.6733,0.8186,FALSE,FALSE,FALSE,0
"543","Vanguard University of Southern California",33.6627,-117.9009,0.6977,FALSE,FALSE,FALSE,27
"544","Concorde Career College-Garden Grove",33.7747,-117.9384,1,FALSE,FALSE,FALSE,0
"548","Southern California Institute of Architecture",34.0437,-118.2327,0.8667,FALSE,FALSE,FALSE,0
"549","University of Southern California",34.0211,-118.2839,0.1984,FALSE,FALSE,FALSE,0
"553","Thomas Aquinas College",34.429,-119.0871,0.7921,FALSE,FALSE,FALSE,30
"555","Epic Bible College",38.6456,-121.3629,0.79,FALSE,FALSE,FALSE,27
"557","Concorde Career College-San Bernardino",34.0672,-117.284,1,FALSE,FALSE,FALSE,0
"559","Concorde Career College-North Hollywood",34.1865,-118.4038,1,FALSE,FALSE,FALSE,0
"569","Carrington College California-Sacramento",38.5618,-121.3689,0.521,FALSE,FALSE,FALSE,0
"571","Westmont College",34.4493,-119.6619,0.7016,FALSE,FALSE,FALSE,0
"572","Whittier College",33.9776,-118.0284,0.6325,FALSE,FALSE,FALSE,0
"573","Woodbury University",34.2092,-118.3407,0.5575,FALSE,TRUE,FALSE,0
"577","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",34.0855,-118.3467,1,FALSE,FALSE,FALSE,0
"4314","Stanford University",37.4317,-122.1822,0.0569,FALSE,FALSE,FALSE,0
"4320","ITT Technical Institute-Sylmar",34.2995,-118.4741,0.9406,FALSE,FALSE,FALSE,0
"4365","Carrington College California-San Leandro",37.7012,-122.1258,1,FALSE,FALSE,FALSE,0
"4390","Fashion Institute of Design & Merchandising-San Diego",32.7089,-117.1551,0.6059,FALSE,FALSE,FALSE,0
"4442","Brandman University",33.6557,-117.7686,1,FALSE,FALSE,FALSE,0
"4535","California State University-San Marcos",33.1291,-117.158,0.6251,FALSE,FALSE,FALSE,0
"4604","Modern Technology School",33.7231,-117.9188,0.7625,FALSE,FALSE,FALSE,0
"4608","North-West College-Glendale",34.1489,-118.2554,1,FALSE,FALSE,FALSE,0
"4703","Central Coast College",36.6696,-121.6556,0.6454,FALSE,FALSE,FALSE,0
"4704","ITT Technical Institute-Torrance",33.8491,-118.2905,0.9357,FALSE,FALSE,FALSE,0
"4744","ITT Technical Institute-San Bernardino",34.0701,-117.2707,0.9367,FALSE,FALSE,FALSE,0
"4829","Soka University of America",33.5494,-117.7349,0.4336,FALSE,FALSE,FALSE,0
"4832","World Mission University",34.0788,-118.3091,0.8,FALSE,FALSE,FALSE,99
"4942","California State University-Monterey Bay",36.6537,-121.7992,0.444,FALSE,FALSE,FALSE,0
"4977","ITT Technical Institute-Oxnard",34.221,-119.146,0.9406,FALSE,FALSE,FALSE,0
"5296","American University of Health Sciences",33.7971,-118.1714,0.5,FALSE,FALSE,FALSE,0
"5387","ITT Technical Institute-Lathrop",37.8094,-121.2944,0.973,FALSE,FALSE,FALSE,0
"5405","Carrington College California-San Jose",37.2356,-121.7762,1,FALSE,FALSE,FALSE,0
"5410","Carrington College California-Pleasant Hill",37.9626,-122.0722,1,FALSE,FALSE,FALSE,0
"5463","King's University",34.2009,-118.4548,0.8587,FALSE,FALSE,FALSE,42
"5537","San Diego State University-Imperial Valley Campus",32.6724,-115.4927,0.607,FALSE,FALSE,FALSE,0
"5585","California State University-Channel Islands",34.1629,-119.0436,0.6443,FALSE,TRUE,FALSE,0
"5662","West Coast University-Los Angeles",34.0793,-118.2925,0.5444,FALSE,FALSE,FALSE,0
"5780","University of California-Merced",37.3662,-120.4249,0.7551,FALSE,FALSE,FALSE,0
"5794","North-West College-Riverside",33.9083,-117.4507,1,FALSE,FALSE,FALSE,0
"5843","Cambridge Junior College-Yuba City",39.1399,-121.6522,0.8906,FALSE,FALSE,FALSE,0
"5874","Stanbridge College",33.6789,-117.8576,0.7871,FALSE,FALSE,FALSE,0
"6001","ITT Technical Institute-Clovis",36.8366,-119.7013,0.929,FALSE,FALSE,FALSE,0
"6065","Gnomon School of Visual Effects",34.0901,-118.3291,0.8333,FALSE,FALSE,FALSE,0
"6157","Carrington College California-Stockton",37.999,-121.3232,1,FALSE,FALSE,FALSE,0
"6158","Carrington College California-Citrus Heights",38.68,-121.2942,1,FALSE,FALSE,FALSE,0
"6409","Central Nursing College",34.0612,-118.3025,0.7941,FALSE,FALSE,FALSE,0
"6412","Providence Christian College",34.1718,-118.1187,0.5328,FALSE,FALSE,FALSE,88
"6464","ITT Technical Institute-Concord",37.9757,-122.0544,0.8926,FALSE,FALSE,FALSE,0
"6515","San Diego Culinary Institute",32.7643,-117.0238,1,FALSE,FALSE,FALSE,0
"6600","West Coast University-Orange County",33.8111,-117.9115,0.5263,FALSE,FALSE,FALSE,0
"6601","West Coast University-Ontario",34.0657,-117.5908,0.4902,FALSE,FALSE,FALSE,0
"6721","ITT Technical Institute-Corona",33.819,-117.5085,0.9814,FALSE,FALSE,FALSE,0
"6726","ITT Technical Institute-West Covina",34.0686,-117.9422,1,FALSE,FALSE,FALSE,0
"6727","ITT Technical Institute-Culver City",33.9817,-118.3959,0.9058,FALSE,FALSE,FALSE,0
"6730","Touro University Worldwide",34.0946,-118.366,0.8814,FALSE,FALSE,FALSE,0
"6782","Cambridge Junior College-Woodland",38.6775,-121.7744,0.8667,FALSE,FALSE,FALSE,0
"6918","John Paul the Great Catholic University",32.8996,-117.1077,0.8815,FALSE,FALSE,FALSE,30
"6931","ITT Technical Institute-Oakland",37.7428,-122.199,0.902,FALSE,FALSE,FALSE,0
"6935","Carrington College California-Pomona",34.0628,-117.803,1,FALSE,FALSE,FALSE,0
