"","INSTNM","LATITUDE","LONGITUDE","ADM_RATE","AANAPII","HSI","WOMENONLY","RELAFFIL"
"264","Le Cordon Bleu College of Culinary Arts-San Francisco",37.7654,-122.4026,NA,FALSE,FALSE,FALSE,"NULL"
"265","California Hair Design Academy",32.7652,-117.0243,NA,FALSE,FALSE,FALSE,"NULL"
"266","California Institute of the Arts",34.3933,-118.5673,29.92,FALSE,FALSE,FALSE,"NULL"
"267","California Maritime Academy",38.0691,-122.2316,74.8,FALSE,FALSE,FALSE,"NULL"
"268","California Western School of Law",32.7219,-117.1626,NA,FALSE,FALSE,FALSE,"NULL"
"269","Canada College",37.4474,-122.2655,NA,FALSE,TRUE,FALSE,"NULL"
"270","College of the Canyons",34.4031,-118.5695,NA,FALSE,TRUE,FALSE,"NULL"
"271","Career Academy of Beauty",33.781,-118.0317,NA,FALSE,FALSE,FALSE,"NULL"
"272","Casa Loma College-Van Nuys",34.1954,-118.4483,100,FALSE,FALSE,FALSE,"NULL"
"273","CET-San Diego",32.7117,-117.1225,NA,FALSE,FALSE,FALSE,"NULL"
"274","CET-Sobrato",37.3227,-121.887,NA,FALSE,FALSE,FALSE,"NULL"
"275","CET-El Centro",32.7909,-115.5491,NA,FALSE,FALSE,FALSE,"NULL"
"276","CET-San Bernardino",34.0751,-117.2687,NA,FALSE,FALSE,FALSE,"NULL"
"277","CET-Watsonville",36.9318,-121.768,NA,FALSE,FALSE,FALSE,"NULL"
"278","CET-Gilroy",37.0157,-121.5614,NA,FALSE,FALSE,FALSE,"NULL"
"279","CET-Salinas",36.6716,-121.6528,NA,FALSE,FALSE,FALSE,"NULL"
"280","Cerritos College",33.8858,-118.0973,NA,FALSE,FALSE,FALSE,"NULL"
"281","Cerro Coso Community College",35.5678,-117.6677,NA,FALSE,FALSE,FALSE,"NULL"
"282","Chabot College",37.6425,-122.107,NA,FALSE,FALSE,FALSE,"NULL"
"283","Chaffey College",34.1471,-117.5731,NA,FALSE,TRUE,FALSE,"NULL"
"284","Chapman University",33.7937,-117.8515,44.71,FALSE,FALSE,FALSE,"61"
"285","Charles R Drew University of Medicine and Science",33.9257,-118.2428,88.89,FALSE,FALSE,FALSE,"NULL"
"286","Concordia University-Irvine",33.6535,-117.8106,91.19,FALSE,FALSE,FALSE,"68"
"287","San Diego Christian College",32.8,-116.9031,49.2,FALSE,FALSE,FALSE,"88"
"288","Church Divinity School of the Pacific",37.8762,-122.2614,NA,FALSE,FALSE,FALSE,"73"
"289","Citrus College",34.1355,-117.8853,NA,FALSE,TRUE,FALSE,"NULL"
"291","City College of San Francisco",37.726,-122.4512,NA,TRUE,FALSE,FALSE,"NULL"
"292","Claremont Graduate University",34.1038,-117.7124,NA,FALSE,FALSE,FALSE,"NULL"
"293","Claremont McKenna College",34.1023,-117.7066,11.73,FALSE,FALSE,FALSE,"NULL"
"294","Milan Institute-Visalia",36.2841,-119.3134,NA,FALSE,FALSE,FALSE,"NULL"
"295","Clovis Adult Education",36.8369,-119.6902,NA,FALSE,FALSE,FALSE,"NULL"
"296","Coastline Community College",33.6098,-117.8618,NA,FALSE,FALSE,FALSE,"NULL"
"297","Cogswell College",37.407,-122.0242,77.84,FALSE,FALSE,FALSE,"NULL"
"298","Coleman University",32.822,-117.1365,100,FALSE,FALSE,FALSE,"NULL"
"299","COBA Academy",33.7883,-117.8535,NA,FALSE,FALSE,FALSE,"NULL"
